Subgroup variable,Subgroup,n,ADE rate (%),AUROC,AUPRC,Sensitivity,Specificity,PPV,NPV,F1,FNR,FPR,Brier Score,AUROC gap vs best,Sensitivity gap vs best,FNR gap vs lowest,Fairness flag
age_group,Unknown,11740,27.393526405451446,0.8734910910020521,0.7427893161997404,0.49657960199004975,0.9368840919755983,0.7480093676814988,0.831441957313899,0.5968977761166138,0.5034203980099502,0.06311590802440169,0.12448763847351074,0.0,0.35771487653755757,0.35771487653755757,FNR gap > 0.10
country,AU,292,61.986301369863014,0.7554626449654074,0.8300587853755734,0.8895027624309392,0.38738738738738737,0.7030567685589519,0.6825396825396826,0.7853658536585366,0.11049723756906077,0.6126126126126126,0.1925305724143982,0.13096780438022493,0.06627119334301657,0.06627119334301654,AUROC gap > 0.05
country,BR,668,51.49700598802395,0.6938971432672982,0.6938883495364745,0.7441860465116279,0.5493827160493827,0.6368159203980099,0.6691729323308271,0.6863270777479893,0.2558139534883721,0.4506172839506173,0.22143328189849854,0.19253330607833408,0.21158790926232784,0.21158790926232787,FNR gap > 0.10
country,CA,1773,47.15172024816695,0.694695225013149,0.6862471260341333,0.611244019138756,0.6712913553895411,0.6239316239316239,0.6593291404612159,0.6175226586102719,0.388755980861244,0.3287086446104589,0.21960441768169403,0.19173522433248336,0.3445299366351997,0.3445299366351998,FNR gap > 0.10
country,DE,1106,73.59855334538878,0.7292311770051496,0.8799897850863769,0.9557739557739557,0.19863013698630136,0.7687747035573123,0.6170212765957447,0.8521358159912377,0.044226044226044224,0.8013698630136986,0.16904687881469727,0.1571992723404827,0.0,0.0,AUROC gap > 0.05
country,ES,299,67.22408026755853,0.787135749822317,0.8899430360331473,0.9154228855721394,0.3469387755102041,0.7419354838709677,0.6666666666666666,0.8195991091314031,0.0845771144278607,0.6530612244897959,0.17624524235725403,0.09929469952331527,0.040351070201816386,0.040351070201816476,AUROC gap > 0.05
country,FR,1226,72.92006525285481,0.737429584108245,0.8728418137701661,0.9496644295302014,0.21686746987951808,0.7655545536519387,0.6153846153846154,0.8477284073889166,0.050335570469798654,0.7831325301204819,0.16889052093029022,0.14900086523738731,0.006109526243754382,0.00610952624375443,AUROC gap > 0.05
country,GB,1363,63.829787234042556,0.742197663845562,0.8491436698105836,0.860919540229885,0.3752535496957404,0.7086092715231788,0.6045751633986928,0.7773741567202906,0.13908045977011493,0.6247464503042597,0.19283923506736755,0.14423278550007035,0.0948544155440707,0.0948544155440707,AUROC gap > 0.05
country,IT,850,64.47058823529412,0.6678107023734712,0.7843199065556905,0.9233576642335767,0.20860927152317882,0.6791946308724832,0.6,0.782675947409126,0.07664233576642336,0.7913907284768212,0.21080227196216583,0.21861974697216113,0.03241629154037906,0.03241629154037914,AUROC gap > 0.05
country,JP,2503,68.95725129844188,0.7577645100820073,0.861736338190948,0.9269988412514485,0.35263835263835264,0.7608178792201616,0.685,0.835727343954035,0.07300115874855156,0.6473616473616474,0.17252479493618011,0.12866593926362502,0.02877511452250725,0.02877511452250734,AUROC gap > 0.05
country,US,26346,35.50823654444697,0.8864304493456323,0.8319357372583635,0.6154997327632282,0.9210170090047672,0.8109859154929577,0.813104021614881,0.6998480704952902,0.3845002672367718,0.07898299099523277,0.12869690358638763,0.0,0.3402742230107275,0.3402742230107276,FNR gap > 0.10
drug_count_category,2-3 Drugs,10421,40.65828615296037,0.855195681120029,0.8046845791752545,0.6492801510502714,0.8483182406209573,0.74573055028463,0.779263220439691,0.6941710825132476,0.3507198489497286,0.15168175937904269,0.15292365849018097,0.043089621734335726,0.1834694111213574,0.18346941112135728,FNR gap > 0.10
drug_count_category,4-5 Drugs,5467,49.97256264861898,0.8415656007344734,0.8415747447862933,0.7379209370424598,0.7623400365630713,0.7561890472618155,0.7443770082113531,0.7469433123379029,0.26207906295754024,0.2376599634369287,0.16361628472805023,0.0567197021198913,0.09482862512916901,0.09482862512916895,AUROC gap > 0.05
drug_count_category,Polypharmacy(6+),14046,56.91300014238929,0.8316143956943253,0.8619660466528445,0.8327495621716288,0.6566424322538004,0.7621064682312536,0.7482583317642628,0.7958634706198816,0.1672504378283713,0.3433575677461996,0.1653105914592743,0.06667090716003943,0.0,0.0,AUROC gap > 0.05
drug_count_category,Single,10041,30.97301065630913,0.8982853028543647,0.8197605281997186,0.6176848874598071,0.924253354494301,0.7853638593622241,0.843449637919684,0.69150467962563,0.3823151125401929,0.07574664550569904,0.11667381972074509,0.0,0.21506467471182167,0.2150646747118216,FNR gap > 0.10
